0.482541	0.171762	0.546619	0.101048	0.040924	0.122399	0.150730	0.775920
0.263568	0.025315	0.247045	0.065762	0.106535	0.012266	0.034602	0.226989
0.017012	0.012349	0.022369	0.002734	0.004430	0.001332	0.003126	0.054589
0.395042	0.115059	0.428256	0.345072	0.139754	0.025690	0.189806	0.429161
0.241984	0.118392	0.297243	0.389449	0.157727	0.014957	0.202504	0.557013
0.214747	0.042104	0.216964	0.116353	0.188493	0.007212	0.070441	0.209692
0.128400	0.040911	0.140701	0.073295	0.118739	0.011114	0.040183	0.120109
0.285556	0.033820	0.272518	0.038341	0.062112	0.012283	0.024601	0.246535
0.402371	0.114629	0.434563	0.050696	0.082127	0.018059	0.335084	0.263027
0.014700	0.009534	0.018263	0.010240	0.016589	0.001094	0.002043	0.067151
0.252281	0.051898	0.256900	0.091051	0.147502	0.011106	0.055726	0.231998
0.187971	0.018262	0.175871	0.043221	0.070018	0.008920	0.013098	0.198661
0.122221	0.030398	0.127522	0.042482	0.068821	0.004021	0.042130	0.183746
0.032075	0.010817	0.034369	0.018841	0.030523	0.001878	0.003850	0.081464
0.174543	0.036638	0.177781	0.062858	0.101829	0.009252	0.086162	0.120689
0.112199	0.034185	0.121697	0.032139	0.052066	0.004103	0.130019	0.190480
0.048882	0.013393	0.050993	0.101347	0.164182	0.001495	0.017598	0.127646
0.185858	0.021872	0.176714	0.028796	0.046649	0.008795	0.019660	0.108612
0.471990	0.187988	0.549444	0.083508	0.033821	0.083611	0.190628	0.765152
0.544287	0.221797	0.637560	0.388426	0.157313	0.043117	0.154207	0.318458
0.358100	0.153984	0.424896	0.281683	0.114082	0.068074	0.186263	0.514680
0.332859	0.018170	0.302213	0.022057	0.035732	0.017897	0.001288	0.094190
0.125870	0.051713	0.146885	0.047610	0.077128	0.006550	0.111956	0.187272
0.296540	0.070944	0.309626	0.088018	0.142589	0.010227	0.063160	0.195992
0.138296	0.043144	0.151135	0.034705	0.056223	0.005165	0.153232	0.222749
0.136213	0.028470	0.138301	0.017857	0.028929	0.004499	0.044237	0.092340
0.245184	0.097432	0.284467	0.203330	0.082349	0.017365	0.284557	0.439323
0.429026	0.110159	0.454249	0.121886	0.049364	0.045069	0.216641	0.561358
0.221125	0.041953	0.222460	0.068316	0.110672	0.008001	0.062905	0.222897
0.357407	0.202415	0.460169	0.491500	0.199058	0.026838	0.078341	0.283235
0.008024	0.010573	0.013214	0.030077	0.048725	0.000899	0.004133	0.063191
0.104491	0.033057	0.114045	0.058106	0.094132	0.005327	0.085041	0.254467
0.273432	0.142914	0.342828	0.041165	0.066687	0.032957	0.123357	0.202867
0.177509	0.033416	0.177990	0.028932	0.046871	0.010463	0.059368	0.205823
0.158971	0.249352	0.321900	0.718549	0.291013	0.015619	0.135926	0.304192
0.244320	0.077305	0.268786	0.089768	0.145424	0.008946	0.307030	0.170519
